report_date,category,revenue
24/06/2022,Bottom,5381.00
24/06/2022,Ethnic Dress,14017.00
24/06/2022,Saree,1992.00
24/06/2022,Set,913167.00
24/06/2022,Top,89466.00
24/06/2022,Western Dress,294771.00
24/06/2022,kurta,553000.00
25/06/2022,Blouse,5457.00
25/06/2022,Bottom,4958.00
25/06/2022,Ethnic Dress,12402.00
25/06/2022,Saree,2203.00
25/06/2022,Set,887165.00
25/06/2022,Top,89534.00
25/06/2022,Western Dress,287810.00
25/06/2022,kurta,478831.00
26/06/2022,Blouse,3935.00
26/06/2022,Bottom,6312.00
26/06/2022,Dupatta,915.00
26/06/2022,Ethnic Dress,13860.00
26/06/2022,Saree,1544.00
26/06/2022,Set,911508.00
26/06/2022,Top,125167.00
26/06/2022,Western Dress,331931.00
26/06/2022,kurta,478664.00
27/06/2022,Blouse,6048.00
27/06/2022,Bottom,5514.00
27/06/2022,Dupatta,915.00
27/06/2022,Ethnic Dress,14133.00
27/06/2022,Saree,885.00
27/06/2022,Set,945513.00
27/06/2022,Top,132642.00
27/06/2022,Western Dress,368853.00
27/06/2022,kurta,468969.00
28/06/2022,Blouse,7637.00
28/06/2022,Bottom,6198.00
28/06/2022,Dupatta,915.00
28/06/2022,Ethnic Dress,15507.00
28/06/2022,Saree,1566.00
28/06/2022,Set,913487.00
28/06/2022,Top,131357.00
28/06/2022,Western Dress,384630.00
28/06/2022,kurta,498854.00
29/06/2022,Blouse,7715.00
29/06/2022,Bottom,3122.00
29/06/2022,Ethnic Dress,10599.00
29/06/2022,Saree,1566.00
29/06/2022,Set,652102.00
29/06/2022,Top,84312.00
29/06/2022,Western Dress,269019.00
29/06/2022,kurta,351540.00
30/06/2022,Blouse,4130.00
30/06/2022,Bottom,2156.00
30/06/2022,Ethnic Dress,8616.00
30/06/2022,Saree,1566.00
30/06/2022,Set,325396.00
30/06/2022,Top,51226.00
30/06/2022,Western Dress,144232.00
30/06/2022,kurta,199411.00
01/07/2022,Blouse,926.00
01/07/2022,Ethnic Dress,690.00
01/07/2022,Set,45205.00
01/07/2022,Top,9314.00
01/07/2022,Western Dress,24044.00
01/07/2022,kurta,35416.00
